时间,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),,,,,
0,0.397,0.92,-0.025,3.845,-2.38,-0.916,91.631,-23.198,22.626,20.9,24.283,-26.833,,,,,
0.005,0.397,0.921,-0.027,3.845,-2.625,-1.953,91.659,-23.192,22.604,20.9,24.292,-26.825,,,,,
0.01,0.397,0.921,-0.027,3.845,-2.625,-1.953,91.681,-23.181,22.582,20.925,24.292,-26.817,,,,,
0.015,0.397,0.921,-0.027,3.845,-2.625,-1.953,91.708,-23.17,22.56,20.925,24.283,-26.775,,,,,
0.02,0.402,0.921,-0.027,3.845,-2.625,-1.953,91.73,-23.159,22.538,20.933,24.267,-26.742,,,,,
0.025,0.402,0.925,-0.033,3.906,-2.686,-1.77,91.758,-23.154,22.516,20.925,24.242,-26.708,,,,,
0.03,0.402,0.925,-0.033,3.906,-2.686,-1.77,91.78,-23.143,22.495,20.908,24.225,-26.642,,,,,
0.035,0.402,0.925,-0.033,3.906,-2.686,-1.77,91.807,-23.137,22.473,20.9,24.225,-26.583,,,,,
0.04,0.409,0.925,-0.033,3.906,-2.686,-1.77,91.835,-23.126,22.451,20.9,24.25,-26.533,,,,,
0.045,0.409,0.927,-0.035,3.662,-2.014,-0.671,91.857,-23.126,22.434,20.908,24.283,-26.525,,,,,
0.05,0.409,0.927,-0.035,3.662,-2.014,-0.671,91.879,-23.121,22.412,20.942,24.308,-26.558,,,,,
0.055,0.409,0.927,-0.035,3.662,-2.014,-0.671,91.901,-23.121,22.396,20.975,24.333,-26.567,,,,,
0.06,0.405,0.927,-0.035,3.662,-2.014,-0.671,91.923,-23.115,22.379,21.017,24.333,-26.617,,,,,
0.065,0.405,0.926,-0.029,3.235,-0.793,0.366,91.939,-23.121,22.363,21.067,24.317,-26.617,,,,,
0.07,0.405,0.926,-0.029,3.235,-0.793,0.366,91.961,-23.121,22.352,21.1,24.283,-26.617,,,,,
0.075,0.405,0.926,-0.029,3.235,-0.793,0.366,91.978,-23.126,22.341,21.142,24.242,-26.633,,,,,
0.08,0.399,0.926,-0.029,3.235,-0.793,0.366,91.994,-23.126,22.33,21.192,24.225,-26.675,,,,,
0.085,0.399,0.923,-0.03,2.563,0.122,0.671,92.005,-23.132,22.324,21.217,24.217,-26.708,,,,,
0.09,0.399,0.923,-0.03,2.563,0.122,0.671,92.016,-23.137,22.319,21.233,24.208,-26.75,,,,,
0.095,0.399,0.923,-0.03,2.563,0.122,0.671,92.032,-23.143,22.313,21.242,24.2,-26.758,,,,,
0.1,0.396,0.923,-0.03,2.563,0.122,0.671,92.043,-23.143,22.308,21.225,24.2,-26.717,,,,,
0.105,0.396,0.917,-0.035,2.197,0.366,0.549,92.054,-23.148,22.302,21.192,24.2,-26.667,,,,,
0.11,0.396,0.917,-0.035,2.197,0.366,0.549,92.065,-23.154,22.297,21.167,24.192,-26.617,,,,,
0.115,0.396,0.917,-0.035,2.197,0.366,0.549,92.071,-23.159,22.297,21.142,24.2,-26.6,,,,,
0.12,0.394,0.917,-0.035,2.197,0.366,0.549,92.082,-23.159,22.291,21.125,24.233,-26.583,,,,,
0.125,0.394,0.916,-0.041,2.136,0.305,0.183,92.093,-23.165,22.286,21.117,24.25,-26.583,,,,,
0.13,0.394,0.916,-0.041,2.136,0.305,0.183,92.104,-23.165,22.28,21.1,24.275,-26.575,,,,,
0.135,0.394,0.916,-0.041,2.136,0.305,0.183,92.115,-23.165,22.275,21.1,24.292,-26.567,,,,,
0.14,0.388,0.916,-0.041,2.136,0.305,0.183,92.126,-23.17,22.269,21.108,24.3,-26.533,,,,,
0.145,0.388,0.921,-0.044,2.014,0.427,0,92.131,-23.17,22.264,21.108,24.308,-26.533,,,,,
0.15,0.388,0.921,-0.044,2.014,0.427,0,92.142,-23.17,22.264,21.108,24.317,-26.55,,,,,
0.155,0.388,0.921,-0.044,2.014,0.427,0,92.153,-23.17,22.258,21.108,24.317,-26.542,,,,,
0.16,0.383,0.921,-0.044,2.014,0.427,0,92.159,-23.17,22.253,21.108,24.308,-26.533,,,,,
0.165,0.383,0.924,-0.046,1.709,0.488,-0.366,92.17,-23.17,22.253,21.108,24.3,-26.517,,,,,
0.17,0.383,0.924,-0.046,1.709,0.488,-0.366,92.175,-23.17,22.247,21.117,24.267,-26.467,,,,,
0.175,0.383,0.924,-0.046,1.709,0.488,-0.366,92.186,-23.17,22.247,21.108,24.242,-26.425,,,,,
0.18,0.379,0.924,-0.046,1.709,0.488,-0.366,92.192,-23.165,22.242,21.1,24.225,-26.4,,,,,
0.185,0.379,0.924,-0.053,1.343,0.366,-1.465,92.203,-23.159,22.242,21.108,24.208,-26.383,,,,,
0.19,0.379,0.924,-0.053,1.343,0.366,-1.465,92.208,-23.154,22.236,21.117,24.225,-26.4,,,,,
0.195,0.379,0.924,-0.053,1.343,0.366,-1.465,92.214,-23.148,22.236,21.125,24.242,-26.383,,,,,
0.2,0.38,0.924,-0.053,1.343,0.366,-1.465,92.219,-23.137,22.231,21.117,24.258,-26.367,,,,,
0.205,0.38,0.92,-0.058,1.221,0.549,-2.319,92.225,-23.126,22.231,21.108,24.275,-26.358,,,,,
0.21,0.38,0.92,-0.058,1.221,0.549,-2.319,92.236,-23.115,22.231,21.1,24.292,-26.342,,,,,
0.215,0.38,0.92,-0.058,1.221,0.549,-2.319,92.241,-23.104,22.231,21.1,24.292,-26.325,,,,,
0.22,0.379,0.92,-0.058,1.221,0.549,-2.319,92.247,-23.093,22.225,21.092,24.283,-26.3,,,,,
0.225,0.379,0.919,-0.055,1.404,0.977,-2.686,92.252,-23.077,22.231,21.083,24.258,-26.242,,,,,
0.23,0.379,0.919,-0.055,1.404,0.977,-2.686,92.258,-23.066,22.231,21.067,24.25,-26.175,,,,,
0.235,0.379,0.919,-0.055,1.404,0.977,-2.686,92.269,-23.049,22.231,21.042,24.233,-26.125,,,,,
0.24,0.375,0.919,-0.055,1.404,0.977,-2.686,92.274,-23.038,22.236,21.017,24.225,-26.108,,,,,
0.245,0.375,0.916,-0.046,1.465,1.343,-3.052,92.28,-23.022,22.236,20.983,24.217,-26.15,,,,,
0.25,0.375,0.916,-0.046,1.465,1.343,-3.052,92.285,-23.005,22.242,20.95,24.208,-26.192,,,,,
0.255,0.375,0.916,-0.046,1.465,1.343,-3.052,92.291,-22.989,22.247,20.925,24.217,-26.217,,,,,
0.26,0.388,0.916,-0.046,1.465,1.343,-3.052,92.296,-22.978,22.247,20.9,24.225,-26.233,,,,,
0.265,0.388,0.897,-0.042,2.38,2.563,-4.944,92.307,-22.95,22.258,20.883,24.233,-26.217,,,,,
0.27,0.388,0.897,-0.042,2.38,2.563,-4.944,92.313,-22.928,22.269,20.875,24.258,-26.192,,,,,
0.275,0.388,0.897,-0.042,2.38,2.563,-4.944,92.324,-22.901,22.28,20.867,24.275,-26.167,,,,,
0.28,0.379,0.897,-0.042,2.38,2.563,-4.944,92.329,-22.879,22.286,20.85,24.283,-26.15,,,,,
0.285,0.379,0.94,-0.046,1.282,2.502,-4.883,92.335,-22.857,22.297,20.842,24.283,-26.142,,,,,
0.29,0.379,0.94,-0.046,1.282,2.502,-4.883,92.335,-22.83,22.308,20.825,24.317,-26.158,,,,,
0.295,0.379,0.94,-0.046,1.282,2.502,-4.883,92.34,-22.808,22.313,20.783,24.342,-26.192,,,,,
0.3,0.379,0.94,-0.046,1.282,2.502,-4.883,92.34,-22.786,22.324,20.733,24.367,-26.208,,,,,
0.305,0.359,0.94,-0.046,1.282,2.502,-4.883,92.346,-22.758,22.33,20.683,24.383,-26.242,,,,,
0.31,0.359,0.937,-0.049,0.854,0.366,-4.333,92.351,-22.736,22.33,20.642,24.392,-26.25,,,,,
0.315,0.359,0.937,-0.049,0.854,0.366,-4.333,92.351,-22.714,22.324,20.608,24.4,-26.267,,,,,
0.32,0.359,0.937,-0.049,0.854,0.366,-4.333,92.357,-22.692,22.324,20.592,24.417,-26.283,,,,,
0.325,0.385,0.937,-0.049,0.854,0.366,-4.333,92.362,-22.67,22.319,20.567,24.442,-26.258,,,,,
0.33,0.385,0.918,-0.046,1.77,-1.77,-3.845,92.379,-22.654,22.302,20.533,24.458,-26.225,,,,,
0.335,0.385,0.918,-0.046,1.77,-1.77,-3.845,92.39,-22.632,22.291,20.517,24.483,-26.242,,,,,
0.34,0.385,0.918,-0.046,1.77,-1.77,-3.845,92.406,-22.61,22.275,20.492,24.508,-26.258,,,,,
0.345,0.396,0.918,-0.046,1.77,-1.77,-3.845,92.417,-22.593,22.258,20.483,24.525,-26.242,,,,,
0.35,0.396,0.927,-0.042,1.648,-0.244,-1.709,92.428,-22.582,22.253,20.467,24.558,-26.258,,,,,
0.355,0.396,0.927,-0.042,1.648,-0.244,-1.709,92.439,-22.577,22.242,20.467,24.567,-26.275,,,,,
0.36,0.396,0.927,-0.042,1.648,-0.244,-1.709,92.45,-22.566,22.236,20.458,24.575,-26.308,,,,,
0.365,0.374,0.927,-0.042,1.648,-0.244,-1.709,92.461,-22.56,22.225,20.442,24.592,-26.367,,,,,
0.37,0.374,0.941,-0.039,1.526,0.183,-0.916,92.466,-22.555,22.22,20.433,24.608,-26.408,,,,,
0.375,0.374,0.941,-0.039,1.526,0.183,-0.916,92.477,-22.549,22.214,20.425,24.625,-26.425,,,,,
0.38,0.374,0.941,-0.039,1.526,0.183,-0.916,92.483,-22.544,22.209,20.433,24.642,-26.4,,,,,
0.385,0.37,0.941,-0.039,1.526,0.183,-0.916,92.494,-22.538,22.198,20.433,24.65,-26.367,,,,,
0.39,0.37,0.939,-0.041,1.16,-0.427,-1.343,92.499,-22.533,22.192,20.425,24.658,-26.333,,,,,
0.395,0.37,0.939,-0.041,1.16,-0.427,-1.343,92.51,-22.527,22.181,20.4,24.683,-26.308,,,,,
0.4,0.37,0.939,-0.041,1.16,-0.427,-1.343,92.516,-22.522,22.17,20.358,24.7,-26.3,,,,,
0.405,0.385,0.939,-0.041,1.16,-0.427,-1.343,92.521,-22.511,22.165,20.325,24.708,-26.3,,,,,
0.41,0.385,0.932,-0.044,0.61,-1.221,-1.221,92.532,-22.505,22.148,20.3,24.708,-26.3,,,,,
0.415,0.385,0.932,-0.044,0.61,-1.221,-1.221,92.538,-22.5,22.137,20.308,24.7,-26.3,,,,,
0.42,0.385,0.932,-0.044,0.61,-1.221,-1.221,92.543,-22.495,22.121,20.308,24.692,-26.317,,,,,
0.425,0.395,0.932,-0.044,0.61,-1.221,-1.221,92.549,-22.484,22.11,20.308,24.658,-26.317,,,,,
0.43,0.395,0.923,-0.042,0.61,-1.221,0,92.554,-22.484,22.094,20.292,24.642,-26.317,,,,,
0.435,0.395,0.923,-0.042,0.61,-1.221,0,92.56,-22.484,22.083,20.25,24.633,-26.3,,,,,
0.44,0.395,0.923,-0.042,0.61,-1.221,0,92.571,-22.484,22.066,20.225,24.617,-26.283,,,,,
0.445,0.385,0.923,-0.042,0.61,-1.221,0,92.576,-22.484,22.055,20.208,24.617,-26.258,,,,,
0.45,0.385,0.92,-0.039,0.732,-1.404,0.916,92.582,-22.489,22.039,20.192,24.642,-26.275,,,,,
0.455,0.385,0.92,-0.039,0.732,-1.404,0.916,92.587,-22.495,22.022,20.2,24.658,-26.267,,,,,
0.46,0.385,0.92,-0.039,0.732,-1.404,0.916,92.598,-22.5,22.006,20.217,24.683,-26.258,,,,,
0.465,0.378,0.92,-0.039,0.732,-1.404,0.916,92.604,-22.5,21.989,20.233,24.717,-26.25,,,,,
0.47,0.378,0.918,-0.033,0.61,-1.953,0.61,92.609,-22.505,21.973,20.233,24.725,-26.208,,,,,
0.475,0.378,0.918,-0.033,0.61,-1.953,0.61,92.62,-22.511,21.951,20.242,24.717,-26.15,,,,,
0.48,0.378,0.918,-0.033,0.61,-1.953,0.61,92.626,-22.511,21.934,20.25,24.708,-26.083,,,,,
0.485,0.376,0.918,-0.033,0.61,-1.953,0.61,92.631,-22.516,21.918,20.25,24.708,-26.058,,,,,
0.49,0.376,0.919,-0.035,0.183,-2.625,0.427,92.642,-22.516,21.896,20.25,24.708,-26.017,,,,,
0.495,0.376,0.919,-0.035,0.183,-2.625,0.427,92.648,-22.516,21.874,20.225,24.717,-26,,,,,
0.5,0.376,0.919,-0.035,0.183,-2.625,0.427,92.653,-22.522,21.852,20.208,24.733,-26,,,,,
0.505,0.382,0.919,-0.035,0.183,-2.625,0.427,92.659,-22.522,21.83,20.217,24.75,-25.958,,,,,
0.51,0.382,0.919,-0.04,-0.244,-3.296,1.099,92.664,-22.527,21.808,20.217,24.767,-25.942,,,,,
0.515,0.382,0.919,-0.04,-0.244,-3.296,1.099,92.67,-22.533,21.78,20.217,24.8,-25.917,,,,,
0.52,0.382,0.919,-0.04,-0.244,-3.296,1.099,92.675,-22.533,21.758,20.225,24.825,-25.892,,,,,
0.525,0.386,0.919,-0.04,-0.244,-3.296,1.099,92.681,-22.538,21.731,20.233,24.842,-25.908,,,,,
0.53,0.386,0.918,-0.043,-0.61,-3.845,2.197,92.686,-22.549,21.703,20.217,24.867,-25.917,,,,,
0.535,0.386,0.918,-0.043,-0.61,-3.845,2.197,92.692,-22.56,21.676,20.217,24.867,-25.9,,,,,
0.54,0.386,0.918,-0.043,-0.61,-3.845,2.197,92.697,-22.571,21.649,20.2,24.858,-25.892,,,,,
0.545,0.39,0.918,-0.043,-0.61,-3.845,2.197,92.703,-22.582,21.621,20.175,24.867,-25.867,,,,,
0.55,0.39,0.915,-0.043,-0.732,-3.601,2.808,92.703,-22.593,21.594,20.167,24.875,-25.833,,,,,
0.555,0.39,0.915,-0.043,-0.732,-3.601,2.808,92.708,-22.61,21.566,20.158,24.883,-25.842,,,,,
0.56,0.39,0.915,-0.043,-0.732,-3.601,2.808,92.714,-22.621,21.539,20.167,24.892,-25.883,,,,,
0.565,0.384,0.915,-0.043,-0.732,-3.601,2.808,92.714,-22.637,21.511,20.192,24.883,-25.908,,,,,
0.57,0.384,0.912,-0.042,-0.671,-2.747,2.014,92.719,-22.643,21.489,20.217,24.892,-25.942,,,,,
0.575,0.384,0.912,-0.042,-0.671,-2.747,2.014,92.719,-22.654,21.467,20.25,24.883,-25.983,,,,,
0.58,0.384,0.912,-0.042,-0.671,-2.747,2.014,92.725,-22.665,21.445,20.292,24.867,-26.017,,,,,
0.585,0.384,0.912,-0.042,-0.671,-2.747,2.014,92.725,-22.676,21.423,20.317,24.858,-26.042,,,,,
0.59,0.384,0.91,-0.043,-0.244,-1.831,0.122,92.73,-22.676,21.407,20.333,24.867,-26.075,,,,,
0.595,0.384,0.91,-0.043,-0.244,-1.831,0.122,92.73,-22.676,21.39,20.342,24.842,-26.092,,,,,
0.6,0.384,0.91,-0.043,-0.244,-1.831,0.122,92.736,-22.676,21.374,20.333,24.808,-26.067,,,,,
0.605,0.394,0.91,-0.043,-0.244,-1.831,0.122,92.736,-22.676,21.363,20.325,24.808,-26.05,,,,,
0.61,0.394,0.912,-0.046,0.305,-0.366,-0.854,92.741,-22.676,21.352,20.333,24.808,-26.042,,,,,
0.615,0.394,0.912,-0.046,0.305,-0.366,-0.854,92.741,-22.67,21.346,20.325,24.825,-26.008,,,,,
0.62,0.394,0.912,-0.046,0.305,-0.366,-0.854,92.741,-22.665,21.335,20.325,24.842,-26.017,,,,,
0.625,0.391,0.912,-0.046,0.305,-0.366,-0.854,92.747,-22.665,21.33,20.325,24.842,-25.983,,,,,
0.63,0.391,0.914,-0.045,0.549,1.16,-0.732,92.747,-22.659,21.33,20.317,24.825,-25.942,,,,,
0.635,0.391,0.914,-0.045,0.549,1.16,-0.732,92.747,-22.659,21.33,20.317,24.8,-25.933,,,,,
0.64,0.391,0.914,-0.045,0.549,1.16,-0.732,92.747,-22.654,21.33,20.317,24.775,-25.95,,,,,
0.645,0.378,0.914,-0.045,0.549,1.16,-0.732,92.747,-22.654,21.33,20.333,24.75,-25.975,,,,,
0.65,0.378,0.915,-0.044,0.366,1.465,-0.732,92.747,-22.654,21.33,20.342,24.725,-26.017,,,,,
0.655,0.378,0.915,-0.044,0.366,1.465,-0.732,92.747,-22.648,21.335,20.358,24.7,-26.05,,,,,
0.66,0.378,0.915,-0.044,0.366,1.465,-0.732,92.747,-22.648,21.335,20.375,24.683,-26.075,,,,,
0.665,0.375,0.915,-0.044,0.366,1.465,-0.732,92.741,-22.643,21.335,20.392,24.667,-26.067,,,,,
0.67,0.375,0.913,-0.045,0.244,0.427,-0.916,92.747,-22.643,21.335,20.408,24.65,-26.067,,,,,
0.675,0.375,0.913,-0.045,0.244,0.427,-0.916,92.747,-22.637,21.33,20.417,24.633,-26.042,,,,,
0.68,0.375,0.913,-0.045,0.244,0.427,-0.916,92.747,-22.632,21.33,20.417,24.608,-26,,,,,
0.685,0.381,0.913,-0.045,0.244,0.427,-0.916,92.747,-22.632,21.324,20.4,24.592,-26.008,,,,,
0.69,0.381,0.916,-0.047,0.61,-0.61,-0.916,92.752,-22.626,21.319,20.4,24.567,-26.017,,,,,
0.695,0.381,0.916,-0.047,0.61,-0.61,-0.916,92.758,-22.621,21.308,20.4,24.558,-26.017,,,,,
0.7,0.381,0.916,-0.047,0.61,-0.61,-0.916,92.758,-22.615,21.302,20.417,24.542,-26.017,,,,,
0.705,0.393,0.916,-0.047,0.61,-0.61,-0.916,92.763,-22.615,21.297,20.425,24.525,-25.992,,,,,
0.71,0.393,0.923,-0.049,0.854,-1.038,-0.549,92.774,-22.61,21.286,20.45,24.517,-25.983,,,,,
0.715,0.393,0.923,-0.049,0.854,-1.038,-0.549,92.78,-22.61,21.275,20.45,24.517,-25.975,,,,,
0.72,0.393,0.923,-0.049,0.854,-1.038,-0.549,92.785,-22.604,21.264,20.433,24.533,-25.992,,,,,
0.725,0.398,0.923,-0.049,0.854,-1.038,-0.549,92.791,-22.604,21.253,20.425,24.55,-26.008,,,,,
0.73,0.398,0.926,-0.049,0.732,-0.793,-0.061,92.796,-22.604,21.248,20.417,24.542,-26,,,,,
0.735,0.398,0.926,-0.049,0.732,-0.793,-0.061,92.807,-22.604,21.237,20.4,24.55,-26.017,,,,,
0.74,0.398,0.926,-0.049,0.732,-0.793,-0.061,92.813,-22.604,21.226,20.392,24.55,-26.042,,,,,
0.745,0.399,0.926,-0.049,0.732,-0.793,-0.061,92.818,-22.604,21.22,20.383,24.525,-26.033,,,,,
0.75,0.399,0.922,-0.047,0.732,-0.183,-0.122,92.818,-22.604,21.215,20.358,24.5,-26.033,,,,,
0.755,0.399,0.922,-0.047,0.732,-0.183,-0.122,92.823,-22.61,21.204,20.342,24.483,-26.042,,,,,
0.76,0.399,0.922,-0.047,0.732,-0.183,-0.122,92.829,-22.61,21.198,20.342,24.467,-26.025,,,,,
0.765,0.398,0.922,-0.047,0.732,-0.183,-0.122,92.834,-22.61,21.193,20.342,24.458,-26.033,,,,,
0.77,0.398,0.918,-0.044,1.221,0.549,-0.427,92.84,-22.61,21.193,20.342,24.458,-26.042,,,,,
0.775,0.398,0.918,-0.044,1.221,0.549,-0.427,92.845,-22.61,21.187,20.35,24.45,-26.05,,,,,
0.78,0.398,0.918,-0.044,1.221,0.549,-0.427,92.851,-22.61,21.187,20.367,24.425,-26.075,,,,,
0.785,0.398,0.918,-0.044,1.221,0.549,-0.427,92.856,-22.61,21.182,20.4,24.4,-26.092,,,,,
0.79,0.398,0.914,-0.042,1.648,1.343,-0.427,92.862,-22.61,21.187,20.442,24.383,-26.117,,,,,
0.795,0.398,0.914,-0.042,1.648,1.343,-0.427,92.867,-22.61,21.187,20.483,24.358,-26.133,,,,,
0.8,0.398,0.914,-0.042,1.648,1.343,-0.427,92.873,-22.61,21.187,20.525,24.342,-26.133,,,,,
0.805,0.396,0.914,-0.042,1.648,1.343,-0.427,92.878,-22.61,21.193,20.558,24.317,-26.108,,,,,
0.81,0.396,0.916,-0.042,2.075,1.648,0.488,92.884,-22.615,21.198,20.575,24.308,-26.108,,,,,
0.815,0.396,0.916,-0.042,2.075,1.648,0.488,92.895,-22.615,21.198,20.592,24.3,-26.067,,,,,
0.82,0.396,0.916,-0.042,2.075,1.648,0.488,92.9,-22.621,21.204,20.6,24.317,-26.058,,,,,
0.825,0.391,0.916,-0.042,2.075,1.648,0.488,92.906,-22.626,21.209,20.592,24.342,-26.033,,,,,
0.83,0.391,0.923,-0.039,2.075,1.465,1.892,92.917,-22.637,21.209,20.583,24.367,-26,,,,,
0.835,0.391,0.923,-0.039,2.075,1.465,1.892,92.922,-22.648,21.215,20.575,24.392,-26.008,,,,,
0.84,0.391,0.923,-0.039,2.075,1.465,1.892,92.928,-22.665,21.215,20.567,24.392,-26.017,,,,,
0.845,0.386,0.923,-0.039,2.075,1.465,1.892,92.939,-22.676,21.22,20.558,24.392,-26.025,,,,,
0.85,0.386,0.928,-0.036,1.831,0.549,3.052,92.944,-22.692,21.215,20.567,24.375,-26.017,,,,,
0.855,0.386,0.928,-0.036,1.831,0.549,3.052,92.955,-22.709,21.215,20.592,24.35,-26.017,,,,,
0.86,0.386,0.928,-0.036,1.831,0.549,3.052,92.961,-22.725,21.215,20.617,24.342,-26,,,,,
0.865,0.392,0.928,-0.036,1.831,0.549,3.052,92.972,-22.742,21.209,20.65,24.325,-25.983,,,,,
0.87,0.392,0.915,-0.042,1.465,-0.061,3.174,92.977,-22.758,21.209,20.675,24.308,-25.983,,,,,
0.875,0.392,0.915,-0.042,1.465,-0.061,3.174,92.983,-22.775,21.204,20.717,24.308,-26.033,,,,,
0.88,0.392,0.915,-0.042,1.465,-0.061,3.174,92.988,-22.791,21.198,20.742,24.308,-26.058,,,,,
0.885,0.406,0.915,-0.042,1.465,-0.061,3.174,92.999,-22.808,21.193,20.767,24.317,-26.067,,,,,
0.89,0.406,0.885,-0.042,2.625,1.648,0.183,93.005,-22.813,21.198,20.767,24.317,-26.083,,,,,
0.895,0.406,0.885,-0.042,2.625,1.648,0.183,93.016,-22.813,21.204,20.758,24.308,-26.092,,,,,
0.9,0.406,0.885,-0.042,2.625,1.648,0.183,93.027,-22.819,21.209,20.75,24.292,-26.075,,,,,
0.905,0.407,0.885,-0.042,2.625,1.648,0.183,93.032,-22.824,21.215,20.75,24.275,-26.058,,,,,
0.91,0.407,0.937,-0.064,1.282,3.174,0.977,93.032,-22.83,21.226,20.733,24.25,-26.017,,,,,
0.915,0.407,0.937,-0.064,1.282,3.174,0.977,93.032,-22.835,21.237,20.7,24.242,-25.983,,,,,
0.92,0.407,0.937,-0.064,1.282,3.174,0.977,93.032,-22.846,21.253,20.667,24.242,-25.942,,,,,
0.925,0.34,0.937,-0.064,1.282,3.174,0.977,93.032,-22.852,21.264,20.633,24.258,-25.908,,,,,
0.93,0.34,0.942,-0.05,3.662,0.61,0.977,93.049,-22.857,21.264,20.583,24.3,-25.875,,,,,
0.935,0.34,0.942,-0.05,3.662,0.61,0.977,93.065,-22.863,21.259,20.542,24.342,-25.833,,,,,
0.94,0.34,0.942,-0.05,3.662,0.61,0.977,93.082,-22.868,21.259,20.492,24.375,-25.783,,,,,
0.945,0.366,0.942,-0.05,3.662,0.61,0.977,93.098,-22.874,21.259,20.442,24.408,-25.717,,,,,
0.95,0.366,0.926,-0.049,2.93,-4.517,-1.343,93.126,-22.868,21.231,20.417,24.45,-25.683,,,,,
0.955,0.366,0.926,-0.049,2.93,-4.517,-1.343,93.148,-22.857,21.204,20.408,24.492,-25.642,,,,,
0.96,0.366,0.926,-0.049,2.93,-4.517,-1.343,93.17,-22.852,21.176,20.4,24.533,-25.617,,,,,
0.965,0.411,0.926,-0.049,2.93,-4.517,-1.343,93.197,-22.841,21.149,20.408,24.575,-25.608,,,,,
0.97,0.411,0.924,-0.042,1.16,-3.296,1.587,93.208,-22.846,21.127,20.417,24.608,-25.608,,,,,
0.975,0.411,0.924,-0.042,1.16,-3.296,1.587,93.219,-22.857,21.11,20.417,24.642,-25.608,,,,,
0.98,0.411,0.924,-0.042,1.16,-3.296,1.587,93.23,-22.863,21.088,20.4,24.675,-25.583,,,,,
0.985,0.396,0.924,-0.042,1.16,-3.296,1.587,93.246,-22.868,21.066,20.4,24.7,-25.583,,,,,
0.99,0.396,0.925,-0.045,0.854,-0.366,4.761,93.252,-22.896,21.055,20.4,24.717,-25.6,,,,,
0.995,0.396,0.925,-0.045,0.854,-0.366,4.761,93.252,-22.917,21.05,20.4,24.733,-25.592,,,,,
1,0.396,0.925,-0.045,0.854,-0.366,4.761,93.257,-22.939,21.044,20.417,24.742,-25.617,,,,,
1.005,0.378,0.925,-0.045,0.854,-0.366,4.761,93.263,-22.961,21.033,20.433,24.742,-25.608,,,,,
1.01,0.378,0.913,-0.063,0.732,0.977,4.333,93.263,-22.983,21.033,20.45,24.742,-25.6,,,,,
1.015,0.378,0.913,-0.063,0.732,0.977,4.333,93.268,-23.005,21.033,20.458,24.75,-25.608,,,,,
1.02,0.378,0.913,-0.063,0.732,0.977,4.333,93.268,-23.027,21.039,20.458,24.767,-25.625,,,,,
1.025,0.381,0.913,-0.063,0.732,0.977,4.333,93.268,-23.049,21.039,20.458,24.775,-25.625,,,,,
1.03,0.381,0.91,-0.061,1.282,0.671,1.282,93.274,-23.055,21.039,20.45,24.775,-25.608,,,,,
1.035,0.381,0.91,-0.061,1.282,0.671,1.282,93.279,-23.066,21.039,20.45,24.758,-25.558,,,,,
1.04,0.381,0.91,-0.061,1.282,0.671,1.282,93.285,-23.071,21.039,20.45,24.733,-25.508,,,,,
1.045,0.391,0.91,-0.061,1.282,0.671,1.282,93.29,-23.077,21.039,20.458,24.725,-25.475,,,,,
1.05,0.391,0.92,-0.052,1.526,0.916,-0.671,93.296,-23.071,21.039,20.475,24.717,-25.45,,,,,
1.055,0.391,0.92,-0.052,1.526,0.916,-0.671,93.301,-23.066,21.039,20.5,24.717,-25.458,,,,,
1.06,0.391,0.92,-0.052,1.526,0.916,-0.671,93.307,-23.066,21.044,20.542,24.708,-25.508,,,,,
1.065,0.386,0.92,-0.052,1.526,0.916,-0.671,93.312,-23.06,21.044,20.592,24.683,-25.592,,,,,
1.07,0.386,0.924,-0.056,1.099,0.61,-0.854,93.318,-23.055,21.05,20.633,24.658,-25.658,,,,,
1.075,0.386,0.924,-0.056,1.099,0.61,-0.854,93.323,-23.055,21.05,20.675,24.633,-25.742,,,,,
1.08,0.386,0.924,-0.056,1.099,0.61,-0.854,93.329,-23.049,21.05,20.7,24.6,-25.783,,,,,
1.085,0.381,0.924,-0.056,1.099,0.61,-0.854,93.334,-23.044,21.05,20.708,24.583,-25.8,,,,,
1.09,0.381,0.928,-0.054,0.427,-0.183,-0.366,93.334,-23.038,21.05,20.717,24.575,-25.825,,,,,
1.095,0.381,0.928,-0.054,0.427,-0.183,-0.366,93.34,-23.038,21.044,20.733,24.575,-25.825,,,,,
1.1,0.381,0.928,-0.054,0.427,-0.183,-0.366,93.34,-23.038,21.044,20.75,24.567,-25.833,,,,,
1.105,0.382,0.928,-0.054,0.427,-0.183,-0.366,93.345,-23.033,21.039,20.758,24.575,-25.817,,,,,
1.11,0.382,0.934,-0.053,-0.122,-0.671,0,93.345,-23.033,21.033,20.758,24.583,-25.783,,,,,
1.115,0.382,0.934,-0.053,-0.122,-0.671,0,93.345,-23.033,21.033,20.767,24.583,-25.775,,,,,
1.12,0.382,0.934,-0.053,-0.122,-0.671,0,93.345,-23.033,21.028,20.767,24.583,-25.758,,,,,
1.125,0.382,0.934,-0.053,-0.122,-0.671,0,93.345,-23.027,21.022,20.767,24.575,-25.742,,,,,
1.13,0.384,0.934,-0.053,-0.122,-0.671,0,93.345,-23.027,21.017,20.767,24.575,-25.733,,,,,
